trade_id,date,side,buy_timestamp,sell_timestamp,buy_price,sell_price,quantity,lots,gross_pnl,charges,net_pnl,remark,running_capital
TEST_0001,2025-12-04,CE,2025-12-04 09:39:00+05:30,2025-12-04 09:41:00+05:30,163.7,155.64,150,2,-1209.12,99.24,-1308.36,STOPLOSS,68691.64
TEST_0002,2025-12-04,CE,2025-12-04 10:29:00+05:30,2025-12-04 10:33:00+05:30,215.4,213.85,150,2,-232.88,117.88,-350.76,STOPLOSS,68340.88
TEST_0003,2025-12-04,CE,2025-12-04 10:34:00+05:30,2025-12-04 10:48:00+05:30,220.0,221.41,150,2,211.54,119.95,91.59,STOPLOSS,68432.46
TEST_0004,2025-12-05,CE,2025-12-05 10:19:00+05:30,2025-12-05 10:23:00+05:30,239.0,226.02,75,1,-973.83,85.61,-1059.44,STOPLOSS,67373.02
TEST_0005,2025-12-05,CE,2025-12-05 11:04:00+05:30,2025-12-05 11:11:00+05:30,234.85,231.61,75,1,-242.77,85.68,-328.45,STOPLOSS,67044.57
TEST_0006,2025-12-05,CE,2025-12-05 11:14:00+05:30,2025-12-05 11:17:00+05:30,239.45,234.55,75,1,-367.74,87.01,-454.75,STOPLOSS,66589.82
TEST_0007,2025-12-08,PE,2025-12-08 09:34:00+05:30,2025-12-08 09:36:00+05:30,133.0,130.63,225,3,-532.99,111.92,-644.91,STOPLOSS,65944.91
TEST_0008,2025-12-08,PE,2025-12-08 09:39:00+05:30,2025-12-08 09:42:00+05:30,135.25,132.35,225,3,-651.95,113.44,-765.39,STOPLOSS,65179.52
TEST_0009,2025-12-08,PE,2025-12-08 09:49:00+05:30,2025-12-08 09:52:00+05:30,148.9,151.81,150,2,436.11,97.6,338.51,STOPLOSS,65518.02
TEST_0010,2025-12-09,PE,2025-12-09 09:39:00+05:30,2025-12-09 09:43:00+05:30,248.6,241.02,75,1,-568.85,87.69,-656.54,STOPLOSS,64861.49
TEST_0011,2025-12-09,PE,2025-12-09 09:44:00+05:30,2025-12-09 09:48:00+05:30,253.65,258.56,75,1,368.02,89.68,278.34,STOPLOSS,65139.83
TEST_0012,2025-12-09,PE,2025-12-09 09:49:00+05:30,2025-12-09 09:57:00+05:30,257.75,266.02,75,1,620.18,91.19,528.99,STOPLOSS,65668.82
